продолжаться|['детство', 'расширение', 'сказка', 'солнце', 'парус', 'поддержка', 'развитие', 'жизнь']
оказаться|['забота', 'мама', 'область', 'инвалид', 'ситуация', 'украина', 'младенец', 'гражданин', 'г', 'улица', 'москва', 'подросток', 'женщина', 'лицо', 'семья', 'человек', 'ребёнок']
настать|['время']
помогать|['доброволец', 'вода', 'здоровье', 'вместе', 'пространство', 'инвалидность', 'медиашколапериферия', 'экопрактика', 'город', 'самопомощь', 'анна', 'вичинфекция', 'волонтерство', 'оказание', 'туhалнаб', 'дело', 'исскуство', 'вещь', 'создание', 'природа', 'трудно', 'сердце', 'развитие', 'сервис', 'беженец', 'глина', 'животное', 'сфера', 'бабушка', 'регион', 'молодёжь', 'мама', 'женщина', 'врач', 'друг', 'человек', 'профессия', 'специалист', 'время']
проходить|['пациент', 'кровь', 'событие', 'детейинвалид', 'территория', 'человек', 'ребёнок', 'лечение']
открыть|['школа', 'небо', 'спектр', 'аутизм', 'памятник', 'белгородчин', 'занятость', 'доступ', 'центр', 'художник', 'мир']
стирать|['барьер', 'миргород', 'гто', 'расстояние', 'казахстан', 'грань', 'квн', 'практика', 'граница']
строить|['ребёнок', 'традиция', 'кибатлетика', 'молодёжь', 'дзюдо', 'прошлое', 'мир', 'технология', 'карелия', 'граница', 'вместе', 'мост', 'будущее']
покинуть|['наследие', 'донбасс', 'родина', 'гражданин', 'украина', 'вынужденно', 'территория']
проживать|['совместно', 'область', 'молодёжь', 'украина', 'общежитие', 'опекун', 'удмуртия', 'гражданин', 'инвалид', 'помощь', 'патология', 'семья', 'национальность', 'развитие', 'речь', 'народ', 'раса', 'пенсионер', 'г', 'животное', 'здоровье', 'временно', 'жительство', 'ситуация', 'год', 'ребёнок', 'одиноко', 'лицо', 'подросток', 'инвалидность', 'город', 'пни', 'человек', 'территория']
прибыть|['подросток', 'санктп', 'проживание', 'чувашск', 'женщина', 'год', 'развитие', 'днр', 'терри', 'г', 'школьник', 'детейсирота', 'донбасс', 'помощь', 'возраст', 'ребёнок', 'лицо', 'украина', 'семья', 'гражданин', 'человек', 'территория']
снизить|['слух', 'гражданин']
освободить|['донбасс', 'победа', 'движение', 'население', 'территория']
включить|['детство', 'фантазия', 'свет', 'родитель']
пожаловать|['югра', 'жизнь', 'ориентирование', 'добро']
жить|['надежда', 'мочь', 'ветлуга', 'область', 'герой', 'бытьактивно', 'радостно', 'деревня', 'сад', 'комплекс', 'пока', 'донбасс', 'бытьдолго', 'рядом', 'мечта', 'вспять', 'профессия', 'укрепление', 'учитель', 'конкурсфестиваль', 'вичинфекция', 'семья', 'граница', 'лаборатория', 'полноценно', 'теремочек', 'лесопункт', 'весело', 'земля', 'создание', 'мужество', 'песня', 'война', 'уход', 'масштабирование', 'дорога', 'развитие', 'родник', 'достойно', 'долго', 'жизнь', 'искусство', 'выбор', 'стиль', 'добытчик', 'нарушение', 'клуб', 'иначе', 'лицо', 'обеспечение', 'край', 'россия', 'легенда', 'диагноз', 'счастие', 'здесь', 'поновое', 'век', 'интересно', 'женщина', 'память', 'мир', 'дружно', 'активно', 'право', 'ребёнок', 'вместе', 'где', 'дом', 'самостоятельно', 'время', 'вич', 'человек']
справиться|['covidкризис', 'vместо', 'вместе']
пострадать|['животное', 'человек', 'жертва', 'поиск', 'потеря', 'наиболее', 'детейинвалид', 'последствие', 'реабилитация', 'госпиталь', 'защита', 'женщина', 'период', 'насилие', 'результат', 'семья', 'пандемия', 'помощь', 'ребёнок']
гафурить|['многоцветие']
гордиться|['вологжанин', 'слава', 'проект', 'прошлое']
создать|['дело', 'мечта', 'организация', 'будущее', 'условие', 'прадедгерой', 'прошлое', 'помощь', 'война', 'диалог', 'моделист', 'радиопередача', 'ребёнок', 'родитель']
сделать|['доброволец', 'здоровье', 'подкаст', 'неваляшкин', 'реклама', 'школа', 'петербург', 'фильм', 'ставка', 'рука', 'могуй', 'семья', 'проект', 'мастерская', 'мир', 'музыка', 'бийск', 'сырьё', 'выбор', 'вместе', 'шаг']
приглашать|['нота', 'участие', 'гость', 'карелия', 'италмас']
учиться|['направление', 'ремесленник', 'школстудия', 'класс', 'школыинтернат', 'старший', 'область', 'друг', 'дистанта', 'смысл', 'внучка', 'просвещение', 'квестэкскурсия', 'родитель', 'дошкольник', 'поздно', 'правильно', 'донбасс', 'югра', 'цех', 'город', 'спартакиада', 'канистерапия', 'конкурсфестиваль', 'собака', 'спектакль', 'безопасность', 'марафон', 'песочница', 'маоу', 'война', 'работа', 'мир', 'развитие', 'вовлечение', 'раса', 'пребывание', 'культура', 'воспитание', 'школьник', 'объединение', 'онлайнквест', 'выявление', 'каллиграфия', 'нарушение', 'вуз', 'мочь', 'молодёжь', 'образование', 'студент', 'поддержка', 'ремесло', 'проект', 'сфера', 'дом', 'контракт', 'россия', 'век', 'деятельность', 'школа', 'вместе']
бросать|['программа']
находиться|['конфля', 'группа', 'зона', 'молодёжь', 'заболевание', 'поведение', 'условие', 'учреждение', 'округ', 'социально', 'мигрант', 'пункт', 'возраст', 'опека', 'реабилитация', 'наблюдение', 'беженец', 'область', 'лечение', 'гражданин', 'попечение', 'угроза', 'больница', 'объект', 'переселенец', 'детейсирота', 'человек', 'родитель', 'год', 'место', 'лицо', 'конфликт', 'подросток', 'семья', 'ребёнок']
направить|['час', 'подросток', 'область', 'метанойя', 'среда', 'пространство', 'здесь', 'увековечение', 'формирование', 'взаимодействие', 'продвижение', 'борьба', 'праздник', 'гармонизация', 'взрослый', 'киновоспитание', 'материал', 'профплощадка', 'пожарныйспасатель', 'услуга', 'выполнение', 'сырьё', 'вечёрка', 'оказание', 'инструмент', 'метод', 'выздоровление', 'технически', 'подготовка', 'ребёнок', 'экопросвещение', 'колыма', 'мастерская', 'передача', 'аппарат', 'химбион', 'возрождение', 'хакасия', 'преодоление', 'родитель', 'россия', 'укрепление', 'пропаганда', 'помощь', 'мера', 'работа', 'популяризация', 'организация', 'защита', 'улучшение', 'поддержка', 'социализация', 'создание', 'программа', 'повышение', 'мероприятие', 'развитие', 'проект']
помочь|['название', 'завтра', 'формирование', 'зож', 'педагог', 'человек', 'рядом', 'мама', 'школа', 'скоро', 'учитель', 'поддержка', 'доброта', 'врач', 'оказание', 'обучение', 'проект', 'сказка', 'нога', 'вовремя', 'взаимопомощь', 'дважды', 'забота', 'продукт', 'центр', 'ребёнок', 'уход', 'сегодня', 'мочь', 'вместе', 'семья']
давать|['мечта', 'поход', 'надежда', 'сила', 'проект', 'конструктивизм', 'берег', 'женьшень']
защитить|['детство', 'россия', 'здоровье', 'детеймолодая', 'программа', 'лес', 'будущее', 'вирус', 'прошлое', 'социально', 'категория', 'мастерская', 'пожар', 'стража', 'безопасность', 'право', 'ребёнок']
работать|['доброволец', 'навык', 'здоровье', 'консультант', 'неваляшкин', 'методика', 'область', 'форум', 'музей', 'здесь', 'насилие', 'трудность', 'человек', 'педагог', 'горе', 'сообщество', 'мама', 'област', 'профессия', 'условие', 'учреждение', 'вдохновение', 'проблема', 'будущее', 'мать', 'ситуация', 'неизлечий', 'совет', 'проект', 'создание', 'продолжение', 'организация', 'раса', 'работник', 'ребята', 'слепоглухой', 'программа', 'группа', 'саламандра', 'молодёжь', 'ребёнок', 'сфера', 'специалист']
иметь|['опыт', 'риск', 'область', 'счастие', 'друг', 'дизрафизм', 'стат', 'украина', 'заболевание', 'мама', 'честь', 'мать', 'проблема', 'победа', 'национальность', 'детейинвалид', 'особенность', 'малыш', 'показание', 'школьник', 'состав', 'детейсирота', 'нарушение', 'инвалидность', 'статус', 'год', 'детьмиинвалид', 'родитель', 'женщина', 'человек', 'право', 'лицо', 'зависимость', 'семья', 'ребёнок']
быть|['старость', 'самбист', 'шанс', 'завтра', 'сторона', 'конец', 'высота', 'форма', 'талант', 'телепередача', 'право', 'ребёнок', 'здоровспорт', 'бег', 'солнце', 'природа', 'развитие', 'дом', 'самурай', 'городовгерой', 'подросток', 'начало', 'деревня', 'борьба', 'вечно', 'сталинград', 'собака', 'театр', 'память', 'успех', 'туарминг', 'война', 'обед', 'курган', 'ученик', 'индия', 'набор', 'княгиня', 'здоровье', 'беда', 'страница', 'герой', 'бииргэ', 'диалог', 'знание', 'радостно', 'созвездие', 'лагерь', 'жертва', 'вначале', 'важно', 'самостоятельность', 'медиа', 'трудно', 'физически', 'уничтожитель', 'севастополь', 'сумка', 'камышин', 'россия', 'выше', 'дружно', 'чудом', 'область', 'артстудия', 'опухоль', 'химия', 'хроника', 'много', 'отечество', 'тренд', 'вологодчин', 'пещера', 'создание', 'непросто', 'армия', 'хоровод', 'бам', 'пример', 'книга', 'программа', 'праздник', 'мама', 'женщина', 'слово', 'радость', 'счастие', 'человек', 'год', 'возраст', 'чисто', 'город', 'активно', 'движение', 'хлеб', 'искусство', 'мочь', 'профессия', 'помощь', 'семья', 'время', 'спорт', 'добро', 'проект', 'мир', 'рядом', 'вместе']
выжить|['солдат', 'проект', 'желание', 'режим']
деятельнуть|['аудитория']
развивать|['добро', 'диалог', 'пособие', 'век', 'концепция', 'человек', 'студия', 'душа', 'помощь', 'площадка', 'село', 'эффективно', 'проект', 'природа', 'уход', 'библиотека', 'артпространство', 'альпинизм', 'разработка', 'клуб', 'россия', 'пространство', 'досуг', 'занятие', 'организация', 'спорт', 'среда', 'лагерь', 'создание', 'программа', 'центр']
получить|['здоровье', 'впервые', 'диагноз', 'ранение', 'взамен', 'действие']
есть|['риск', 'надежда', 'друг', 'здесь', 'савка', 'решение', 'повышение', 'рядом', 'будущее', 'имя', 'пульс', 'помощь', 'астх', 'донор', 'бизнескейс', 'ребёнок', 'ум', 'проект', 'память', 'рыба', 'звезда', 'множество', 'идея', 'природа', 'сила', 'раса', 'ещё', 'продукт', 'чм', 'тяжело', 'шанс', 'где', 'дело', 'право', 'работа', 'всегда', 'контакт', 'выход']
сопровождать|['область', 'инвалидность', 'поведение', 'лобачевский', 'ресурс', 'даун', 'инвалид', 'специалист', 'поддержка', 'воздействие', 'возраст', 'наставник', 'подготовка', 'обучение', 'трудоустро', 'семья', 'проект', 'очаг', 'цикл', 'профобучение', 'развитие', 'жизнь', 'организация', 'внедрение', 'пребывание', 'дружба', 'выставка', 'служба', 'условие', 'мастерская', 'взросление', 'модель', 'дом', 'занятость', 'трудоустройство', 'проживание']
действовать|['офис', 'сообща', 'фестиваль', 'деятельность', 'сфера', 'проект', 'защита', 'служба', 'правильно', 'время', 'вместе', 'лицо', 'постоянно']
бывать|['боль', 'опухоль', 'горе', 'старик', 'детейсирота', 'ребёнок']
иить|['заболевание', 'здоровье', 'инвалидность']
сотворить|['проект', 'искусство', 'добро', 'мастерская']
воспитывать|['ребенкаинвалид', 'местность', 'условие', 'детейподросток', 'подростковинвалид', 'детейсирота', 'ситуация', 'чемпион', 'мама', 'женщина', 'родитель', 'детейинвалид', 'семья', 'ребёнок']
попасть|['риск', 'беда', 'вич', 'область', 'лапта', 'услуга', 'пенсия', 'проект', 'женщина', 'ребёнок', 'лицо', 'семья', 'гражданин', 'человек']
поддержать|['пациент', 'жизнь', 'друг', 'традиция', 'развитие', 'всегда', 'центр', 'чемпион', 'мама', 'семья']
игродеть|['игра']
sosтавлять|['поддержка', 'безопасность']
переехать|['донбасс', 'семья']
нуждаться|['пересадка', 'житель', 'число', 'кормление', 'ящик', 'защита', 'выдача', 'трудоустройство', 'где', 'гражданин', 'поддержка', 'защитник', 'питание', 'детейинвалид', 'обед', 'семья', 'вещь', 'бельё', 'категория', 'человек', 'помощь', 'ребёнок']
остаться|['попечительство', 'беда', 'область', 'поп', 'школа', 'мама', 'сирота', 'интернат', 'алименты', 'семья', 'память', 'работа', 'пенсионер', 'вожатый', 'детейсирота', 'папа', 'попечитель', 'ребёнок', 'попечение']
ждать|['малыш', 'жизнелюб', 'клуб', 'театр', 'село', 'здесь']
расширять|['добро', 'палец', 'спектр', 'нетворкингпространство', 'вместе', 'ориентирование', 'милосердие', 'парус', 'код', 'дело', 'сотрудничество', 'сектор', 'мир', 'территория', 'ковчег', 'лето', 'выбор', 'круг', 'меридиан', 'сервис', 'саламандра', 'центр', 'пространство', 'сообщество', 'аутизм', 'доверие', 'горизонт', 'возможность', 'граница']
связать|['бабушка']
освобождать|['канистерапия', 'территория', 'донбасс']
поддерживать|['переход', 'мама', 'человек', 'трудоустройство', 'сервис', 'проживание', 'возможность', 'курс', 'услуга', 'центр', 'реабилитация', 'сообщество', 'среда', 'пространство', 'создание', 'развитие']
взойти|['солнце']
сохранить|['здоровье', 'карта', 'вместе', 'среда', 'сессия', 'наръяната', 'будущее', 'душа', 'святыня', 'прошлое', 'благочестие', 'росточка', 'цифровизация', 'событие', 'ремесло', 'каргополь', 'защитник', 'малый', 'уникальность', 'усилие', 'некрополь', 'технология', 'зрение', 'родник', 'сайгак', 'народ', 'храм', 'заводь', 'лицо', 'лес', 'век', 'наследие', 'проект', 'традиция', 'природа', 'память', 'жизнь', 'история', 'семья']
приехать|['беженец', 'территория']
участвовать|['доброволец', 'оказание', 'рядом', 'специалист', 'возможность', 'волонтёр']
живить|['трезво', 'гто', 'лес', 'невский', 'донбасс', 'танец', 'социализация', 'село', 'активно', 'аршан', 'мужество', 'хозяинвсе', 'долго', 'игра', 'ярко', 'шаг', 'центр', 'нейростимуляция', 'век', 'родник']
возвратить|['имя', 'детство', 'пенаты', 'художник']
преодолеть|['насилие', 'кризис', 'вместе']
осилить|['vместо', 'вместе', 'невzгод', 'дорога']
построить|['маршрут']
спасти|['мочь', 'журавль', 'грута', 'бедность', 'человек', 'стерилизация', 'гидроузел', 'донор', 'рука', 'оказание', 'проект', 'археология', 'система', 'извещатель', 'забвение', 'рядовой', 'конкурс', 'доброта', 'медиафестиваль', 'енисей', 'мир', 'жизнь']
утрать|['частично']
пережить|['ситуация', 'насилие', 'развитие', 'помощь', 'дом', 'ранее', 'ребёнок', 'травма']
показать|['ребёнок', 'карелия', 'цвет']
соврем|['помощь']
дарить|['доброта', 'крыло', 'добро', 'лошадь', 'исцеление', 'взрослый', 'смерть', 'рокнролл', 'театр', 'радость', 'тепло', 'здоровье']
менять|['навык', 'жизнь', 'журналист', 'профессия', 'вектор', 'проект', 'время', 'привычка', 'мир']
устроиться|['жизнь']
пить|['ребёнок']
расти|['старость', 'школа', 'кедровник', 'счастие', 'принадлежность', 'время', 'книга', 'клуб', 'отряд', 'развитие', 'центр', 'сто', 'ребёнок', 'вместе']
осужденныхверовать|['поддержка']
отбывать|['заключение', 'подросток', 'женщина', 'лицо', 'наказание']
прибывать|['человек']
бросить|['песня', 'наставничество', 'беда']
открывать|['амур', 'риск', 'космос', 'кибатлетика', 'лебедь', 'экскурсовод', 'наследие', 'пермь', 'будущее', 'прошлое', 'граница', 'лаборатория', 'перспектива', 'территория', 'луи', 'ульяновск', 'онлайншкола', 'сибирь', 'история', 'город', 'дверь', 'проект', 'мир', 'сердце', 'горизонт', 'подросток', 'возможность', 'россия', 'байкал']
лечить|['наркомания', 'сказка', 'животное', 'природа', 'театр', 'система', 'ребёнок']
спастись|['единение']
слышать|['где', 'язык', 'друг', 'спорт', 'мир', 'много', 'реабилитация', 'ребёнок', 'сердце']
раскрасить|['мир', 'жизнь']
распасться|['связь']
знать|['мочь', 'герой', 'лента', 'подвиг', 'мама', 'жкхправо', 'онлайнкурс', 'закон', 'театр', 'граница', 'право', 'время', 'память', 'осетия', 'снег', 'война', 'кавказовед', 'кавказ', 'основа', 'спорт', 'онлайнпроект', 'конкурс', 'безопасно', 'город', 'безопасность', 'семья', 'поколение', 'проект']
помнить|['крепость', 'наследство', 'герой', 'экспозиция', 'алёша', 'подвиг', 'будущее', 'сталинград', 'иван', 'имя', 'алеш', 'свистовка', 'родство', 'чемпионат', 'время', 'чм', 'потомок', 'сердце', 'краеведение', 'игра', 'чувашия', 'чернобыль', 'необходимость', 'история', 'россия', 'внук', 'победа', 'пока', 'проект', 'мир', 'война']
светить|['добро', 'солнце']
хотеть|['ручка', 'семья', 'форум', 'спектр', 'пространство', 'бал', 'потенциал', 'ситуация', 'инвалидность', 'отбой', 'собака', 'рационализатор', 'домой', 'мочь']
говорить|['класс', 'мочь', 'возвращение', 'глубинка', 'линия', 'педагог', 'правильно', 'город', 'душа', 'прошлое', 'голос', 'памятник', 'перо', 'молча', 'песеня', 'верность', 'проект', 'создание', 'национальность', 'бродский', 'ленинград', 'кенозеро', 'легко', 'чтение', 'подросток', 'книга']
обучать|['серия', 'cерия', 'среда', 'пазл', 'онлайнвебинар', 'родитель', 'комплекс', 'медиакурс', 'укрепление', 'съёмка', 'движение', 'вебинар', 'интенсив', 'онлайн', 'видеоматериал', 'модуль', 'площадка', 'онлайнкомплекс', 'ребёнок', 'проект', 'проведение', 'поколение', 'онлайнплатформ', 'фотопроект', 'кино', 'рамка', 'конкурс', 'цикл', 'создание', 'программа', 'мероприятие', 'семинар', 'курс']
рассказать|['мошенничество', 'земляк', 'народ', 'поанглийски', 'ребёнок', 'герой', 'война', 'аутизм', 'волонтёр', 'дорога', 'родитель', 'россия', 'история', 'бабушка']
обучаться|['направление', 'местность', 'интерес', 'вуз', 'класс', 'молодёжь', 'инвалидность', 'поведение', 'родитель', 'управление', 'образование', 'роль', 'деятельность', 'учреждение', 'урок', 'сопровождение', 'баскетбол', 'помощь', 'республика', 'биатлон', 'санктпетербург', 'интенсивкурс', 'программа', 'колледж', 'школа', 'смена', 'раса', 'россия', 'компетенция', 'студент']
утратить|['навык', 'жизнь', 'здоровье', 'человек', 'сохранение', 'храм', 'память', 'почти', 'инвалид', 'частично', 'возрождение', 'вкус', 'цитадель', 'способность']
проверить|['омск', 'технология', 'реализация', 'подход']
следовать|['усердецпродолжение', 'марафон', 'детейинвалид', 'яответственныйдонора', 'мечта']
создавать|['патриот', 'казачество', 'организация', 'ребёнок', 'условие', 'традиция', 'среда', 'родина', 'музей', 'ориентир', 'история', 'программа', 'вместе', 'педагог', 'будущее']
держать|['рука', 'здоровье', 'певец', 'тело', 'стяг', 'баланс']
покорить|['космос']
посвятить|['след', 'герман', 'микрофон', 'сверхмарафон', 'мечта', 'джалиль', 'современность', 'писатель', 'природа', 'изучение', 'медиакампания', 'свет', 'доблесть', 'жизнь', 'народ', 'основательница', 'исток', 'сибирь', 'единоборство', 'ювникулин', 'обитание', 'издание', 'реклама', 'валериан', 'наследник', 'борьба', 'движение', 'весна', 'новгород', 'год', 'поколение', 'трава', 'чувашия', 'старообрядчество', 'возрождение', 'школьник', 'конкурс', 'герой', 'век', 'победитель', 'безопасность', 'ипполитоваиванов', 'сохранение', 'занятие', 'кама', 'уланбатор', 'композиция', 'поход', 'гуляйгород', 'братство', 'столетие', 'область', 'долголетие', 'форт', 'выставкиинсталляция', 'москва', 'состязание', 'подготовка', 'перспектива', 'сполох', 'самовар', 'день', 'плавание', 'завалинка', 'труд', 'экспозиция', 'культура', 'фильм', 'празднование', 'человек', 'история', 'мероприятие', 'годовщина', 'память', 'рубеж', 'проект', 'летие']
социальнозначить|['борьба', 'область', 'мастерская', 'распространение', 'проект', 'профилактика', 'заболевание']
делиться|['сервис', 'время', 'тепло', 'совершенство', 'опыт']
замещать|['навык', 'будущее', 'кандидат', 'адаптация', 'число', 'специалист', 'работа', 'лагерьинтенсив', 'клуб', 'просвещение', 'насилие', 'центр', 'дом', 'подросток', 'сопровождение', 'родитель', 'поддержка', 'семья']
принять|['вместе', 'воспитание', 'вызов', 'ребёнок', 'семья']
беречь|['рука', 'жизнь', 'здоровье', 'хайрало', 'малый', 'любовь', 'ситуация', 'ельчанин', 'наличник', 'зрение', 'ельчик', 'природа']
вдыхать|['улья']
выбрать|['оператор', 'жизнь', 'время', 'мастерская', 'регион']
объединять|['вымпел', 'пространство', 'родитель', 'бокс', 'сообщество', 'улучшение', 'город', 'апельсин', 'событие', 'канистерапия', 'лобов', 'сми', 'ребёнок', 'память', 'время', 'потомок', 'природа', 'творчество', 'нота', 'искусство', 'велошкола', 'практика', 'простор', 'центр', 'россия', 'поколение', 'народ', 'дружба', 'сердце', 'шахматы', 'человек', 'футбол', 'спорт', 'усилие']
пойти|['геолог', 'мультипликатор', 'поход', 'проект', 'вместе', 'десантник', 'строитель', 'армия', 'лётчик', 'рабочий']
прыгать|['почему', 'здоровье']
творить|['здоровье', 'чудо', 'дшионлайн', 'игротерапия', 'вместе', 'пространство', 'коворкинг', 'поддержка', 'благо', 'чудотворец', 'сказка', 'мастерская', 'онлайнзанятие', 'реабилитация', 'кино', 'прокат', 'центр', 'время', 'природа', 'добро']
квалифицировать|['служба', 'поиск', 'няня', 'помощник']
продолжать|['библиотека', 'родитель', 'темнота', 'движение']
наследовать|['патриот']
протянуть|['безопасность', 'друг', 'лапа', 'рука']
раскопать|['курган']
писать|['стол', 'ребёнок', 'грамотно', 'книга', 'красиво', 'правильно', 'история']
победить|['ом', 'следжхоккей', 'слёт', 'вирус', 'телепрограмма', 'сталинград', 'туберкулёз', 'рак', 'волонтёр', 'вместе']
этникнуть|['продвижение', 'стратегия']
освободиться|['гражданин', 'освобождение', 'женщина', 'человек', 'лицо', 'место']
научиться|['пациент', 'жизнь', 'проект']
осудить|['вещество', 'изоляция', 'мать', 'среда', 'сопровождение', 'общество', 'женщина', 'помощь', 'член', 'обучение', 'поддержка', 'условно', 'рубикон', 'реабилитация', 'ресоциализация']
встретиться|['реал', 'амур', 'кладбище']
требовать|['жизнь', 'движение', 'обучение']
готовиться|['школа', 'профессия', 'родина', 'освобождение', 'лицо']
вернуться|['плен', 'бой', 'возможность', 'шанс', 'реальность', 'домой']
сохранять|['вместе', 'медиация', 'поле', 'заповедник', 'фронт', 'будущее', 'прошлое', 'тест', 'памятник', 'квест', 'семья', 'создание', 'поколение', 'мечтатель', 'мастерская', 'экоактив', 'жизнь', 'пребывание', 'история', 'здоровье', 'память', 'наследие', 'святыня', 'природа', 'традиция']
обязывать|['богатство']
полезнопутешествовать|['наследие']
луть|['мунё', 'удмульт']
повышать|['устойчивость', 'количество', 'спектр', 'эксперт', 'квалификация', 'потенциал', 'оперативность', 'кошкиспас', 'тифлоквант', 'ориентирование', 'дисциплина', 'доступность']
оберегать|['ладога', 'берег', 'жизнь']
вызволить|['тайга']
обеспечивать|['возможность', 'педагог']
сподвигать|['область']
собирать|['попов', 'друг', 'камень', 'время']
видеть|['муза', 'бумажка', 'смысл', 'город', 'инвалид', 'собака', 'ребёнок', 'проект', 'возможность', 'сердце', 'искусство', 'препятствие', 'россия', 'цель', 'театр', 'рука', 'мир', 'музыка', 'художник']
перенести|['восстановление', 'инфекция', 'инсульт', 'взрослый', 'лечение', 'женщина', 'пациент', 'рак', 'ребёнок']
содержать|['школьник', 'история']
отвернуться|['переступь']
рисовать|['наука', 'алтай', 'душа', 'сказка', 'ярь', 'песок', 'краска', 'история', 'ребёнок', 'вместе']
отдалить|['цена', 'диабет', 'стерилизация', 'человек', 'расширение', 'школа', 'движение', 'монопоселение', 'категория', 'ситуация', 'возраст', 'агрономия', 'ребёнок', 'победа', 'семья', 'десант', 'территория', 'работник', 'уголок', 'квн', 'помощь', 'спорт', 'поселение', 'регион', 'район']
защищать|['сообщество', 'прадед', 'страна', 'право', 'мама', 'закон', 'конкурс', 'природа', 'родина']
расширяться|['жизнь', 'долголетие']
заплатить|['алименты']
укреплять|['дипломатия', 'тело', 'новокемп', 'традиция', 'мир', 'слава']
джуурить|['язык']
потухнуть|['огонь']
получиться|['мочь', 'проживание', 'школьник', 'поддержка', 'центр']
ценностноориентировать|['проект']
мастерить|['друг']
спасать|['планета', 'храм', 'действие', 'инсульт', 'святыня', 'мир', 'человек', 'безопасность', 'время', 'вместе', 'жизнь']
гореть|['комната', 'душа', 'огонь', 'работник']
играть|['здоровье', 'поём', 'область', 'игромарафон', 'безопасно', 'лапта', 'гармонь', 'тэгрегби', 'будущее', 'го', 'вологда', 'право', 'время', 'досуг', 'воссоединение', 'гармун', 'спорт', 'квн', 'девиз', 'хоккей', 'долго', 'игра', 'футбол', 'вместе']
выбирать|['казак', 'мяч', 'поливаново', 'парус', 'специалист', 'деревня', 'наркотик', 'развитие', 'сомнение', 'зож', 'край', 'человек', 'туризм', 'здоровье', 'профессия', 'молодёжь', 'жизнь', 'спорт']
отдать|['море', 'спорт', 'юность']
делать|['трид', 'вечер', 'школа', 'трезво', 'кино', 'семья', 'будущее', 'время', 'ребёнок', 'слух', 'создание', 'добро', 'вместе']
примерить|['профессия']
войти|['технология', 'история', 'человек']
пройти|['дорога', 'уход']
хранить|['державудолг', 'подвиг', 'бережно', 'родина', 'предок', 'поколение', 'отечество', 'памятник', 'русь', 'пока', 'память']
танцевать|['лагерь', 'вода', 'продолжение', 'сквэрданс', 'искусство', 'счастие', 'проект', 'душа', 'слётшкола', 'артпроект', 'эмоция', 'порусски', 'приоритет', 'вместе']
благоdарить|['создание']
cоциальноориентировать|['добро']
потушить|['время', 'пожар']
думать|['активно', 'здоровье', 'проект', 'спорт', 'возраст']
обнять|['конь', 'корова']
возвращать|['имя']
стать|['камень', 'космос', 'мочь', 'фермер', 'общественник', 'взрослый', 'площадка', 'ограничение', 'донор', 'рыцарь', 'кровь', 'семья', 'фильммейкер', 'время', 'проект', 'предприниматель', 'игра', 'стойкость', 'книга', 'кинокампус', 'легко', 'спасатель', 'герой', 'экскурсовод', 'инженер', 'чемпион']
объединяться|['глухарик']
дружить|['вместе', 'цикл', 'дружба', 'россия', 'гирей']
смочь|['врач', 'кия', 'кукласмамаш', 'семья', 'проект', 'спектр', 'создание', 'курс', 'социализация', 'уход', 'формирование', 'вместе']
сдать|['бумага', 'кровь']
накормить|['бумага', 'еда', 'вместе', 'собака']
вспоминать|['фильм', 'лето']
спешить|['мама', 'ребёнок', 'гость', 'муравей', 'помощь']
коррекционноразвивать|['обучение', 'работа', 'технология', 'сенсориус', 'занятие', 'помощь', 'центр', 'программа']
